7420,13300000
8960,12250000
9960,12250000
7500,12215000
7420,11410000
7500,10850000
8580,10150000
16200,10150000
8100,9870000
5750,9800000
13200,9800000
6000,9681000
6550,9310000
3500,9240000
7800,9240000
6000,9100000
6600,9100000
8500,8960000
4600,8890000
6420,8855000
4320,8750000
7155,8680000
8050,8645000
4560,8645000
8800,8575000
6540,8540000
6000,8463000
8875,8400000
7950,8400000
5500,8400000
7475,8400000
7000,8400000
4880,8295000
5960,8190000
6840,8120000
7000,8080940
7482,8043000
9000,7980000
6000,7962500
6000,7910000
6550,7875000
6360,7840000
6480,7700000
6000,7700000
6000,7560000
6000,7560000
6000,7525000
6600,7490000
4300,7455000
7440,7420000
7440,7420000
6325,7420000
6000,7350000
5150,7350000
6000,7350000
6000,7350000
11440,7343000
9000,7245000
7680,7210000
6000,7210000
6000,7140000
8880,7070000
6240,7070000
6360,7035000
11175,7000000
8880,6930000
13200,6930000
7700,6895000
6000,6860000
12090,6790000
4000,6790000
6000,6755000
5020,6720000
6600,6685000
4040,6650000
4260,6650000
6420,6650000
6500,6650000
5700,6650000
6000,6650000
6000,6629000
4000,6615000
10500,6615000
6000,6580000
3760,6510000
8250,6510000
6670,6510000
3960,6475000
7410,6475000
8580,6440000
5000,6440000
6750,6419000
4800,6405000
7200,6300000
6000,6300000
4100,6300000
9000,6300000
6400,6300000
6600,6293000
6000,6265000
6600,6230000
5500,6230000
5500,6195000
6350,6195000
5500,6195000
4500,6160000
5450,6160000
6420,6125000
3240,6107500
6615,6090000
6600,6090000
8372,6090000
4300,6083000
9620,6083000
6800,6020000
8000,6020000
6900,6020000
